d_x, T_kel,epsilon_1,epsilon_2,epsilon_3,epsilon_4,epsilon_5,epsilon_6,epsilon_7,epsilon_8,epsilon_9,epsilon_10,epsilon_11,epsilon_12,epsilon_13,epsilon_14,epsilon_15,epsilon_16,epsilon_17,
0.001000, 523.150000,65.433278,67.154777,68.338264,69.053588,69.376952,69.396044,69.197061,68.852944,68.419780,67.939521,67.444301,66.958339,66.495836,66.056145,65.618979,65.139985,64.538213,
0.001000, 573.150000,43.240170,43.700470,44.002115,44.161134,44.178691,44.063403,43.834283,43.516847,43.139619,42.732503,42.325388,41.944870,41.608214,41.315513,41.042071,40.731350,40.282800,
0.001000, 623.150000,29.394062,29.290722,29.174232,29.044418,28.883501,28.677142,28.421075,28.120866,27.789852,27.446986,27.114209,26.812391,26.555450,26.343349,26.155225,25.942902,25.621356,
0.001000, 673.150000,20.774111,20.456517,20.175097,19.926547,19.691672,19.452283,19.197787,18.926228,18.643188,18.360022,18.091442,17.852044,17.651654,17.489941,17.351119,17.198862,16.969339,
0.001000, 723.150000,15.287224,14.907519,14.577824,14.295472,14.043898,13.806157,13.570769,13.333104,13.094827,12.862555,12.645925,12.454871,12.296100,12.169085,12.062112,11.948459,11.781333,
0.010000, 523.150000,83.664661,86.883514,88.793737,89.686173,89.878085,89.646275,89.194993,88.653290,88.088614,87.525857,86.965584,86.398542,85.815838,85.216007,84.610962,84.031074,83.523691,
0.010000, 573.150000,57.524309,58.977930,59.763635,60.052076,59.998125,59.728639,59.337334,58.886548,58.413738,57.939810,57.476557,57.031290,56.608132,56.207039,55.822522,55.442519,55.042271,
0.010000, 623.150000,40.166330,40.649931,40.796199,40.714056,40.482527,40.157846,39.779258,39.373601,38.959502,38.551186,38.161056,37.800071,37.475664,37.188073,36.926591,36.666153,36.360523,
0.010000, 673.150000,28.827116,28.831764,28.663084,28.396819,28.077284,27.729527,27.368225,27.003105,26.642219,26.293960,25.967742,25.672988,25.416358,25.197881,25.007054,24.819213,24.589649,
0.010000, 723.150000,21.376437,21.164656,20.861767,20.524385,20.180080,19.839988,19.507923,19.185641,18.875566,18.582019,18.311242,18.070115,17.863611,17.691487,17.544958,17.403558,17.230481,
0.100000, 523.150000,104.079193,109.104165,111.843562,112.873451,112.829785,112.233853,111.436453,110.631998,109.897240,109.231909,108.594230,107.930931,107.202919,106.407610,105.598413,104.901469,104.529199,
0.100000, 573.150000,74.542861,77.375164,78.805873,79.224530,79.019621,78.496682,77.858132,77.216346,76.617505,76.065446,75.541945,75.022912,74.491000,73.945655,73.411793,72.947565,72.649080,
0.100000, 623.150000,53.752669,55.186353,55.759895,55.748930,55.396979,54.882484,54.318368,53.765418,53.248375,52.770309,52.324005,51.900125,51.492475,51.101332,50.736109,50.417905,50.179613,
0.100000, 673.150000,39.433973,40.047552,40.120456,39.856584,39.416354,38.907129,38.391637,37.900992,37.446511,37.028945,36.645031,36.291477,35.966685,35.671016,35.406705,35.177912,34.988963,
0.100000, 723.150000,29.633966,29.796754,29.606812,29.220821,28.750456,28.263444,27.795114,27.360328,26.962651,26.600692,26.272093,25.975474,25.710656,25.477780,25.276231,25.103725,24.954108,
1.000000, 523.150000,126.203700,133.258165,136.887403,138.007501,137.635328,136.578988,135.356446,134.233393,133.293601,132.505192,131.775903,131.000659,130.104998,129.084989,128.042136,127.213184,127.001405,
1.000000, 573.150000,93.959299,98.506400,100.708455,101.236550,100.789850,99.908916,98.935013,98.041234,97.281279,96.634075,96.040466,95.434085,94.768722,94.042964,93.321841,92.755830,92.600479,
1.000000, 623.150000,70.122994,72.892550,74.059932,74.129878,73.587925,72.793353,71.965879,71.213304,70.566541,70.009887,69.505099,69.010885,68.499413,67.970649,67.464961,67.074549,66.955085,
1.000000, 673.150000,52.847603,54.432389,54.909593,54.669382,54.057064,53.314245,52.581555,51.923763,51.356024,50.864972,50.424664,50.008821,49.600551,49.200347,48.833052,48.554415,48.457687,
1.000000, 723.150000,40.475677,41.312666,41.366849,40.947180,40.306864,39.612531,38.955135,38.372527,37.869859,37.434801,37.048398,36.692892,36.357463,36.042619,35.763921,35.555643,35.474430,
10.000000, 523.150000,149.601876,158.832785,163.381830,164.547757,163.773267,162.182560,160.474399,158.989240,157.815897,156.886236,156.051873,155.150657,154.069300,152.802352,151.503687,150.530248,150.492711,
10.000000, 573.150000,115.314903,121.830859,124.887057,125.490966,124.716359,123.383739,121.996177,120.794924,119.839554,119.077609,118.400406,117.690936,116.868505,115.930563,114.989426,114.304130,114.317791,
10.000000, 623.150000,88.990280,93.441092,95.340647,95.483347,94.671733,93.501351,92.328906,91.320376,90.512144,89.862296,89.290915,88.714060,88.074941,87.372858,86.688738,86.207822,86.246758,
10.000000, 673.150000,69.055036,71.995102,73.044605,72.841273,71.991697,70.929364,69.905274,69.030652,68.324596,67.752232,67.253854,66.768868,66.257288,65.719416,65.213254,64.870391,64.915416,
10.000000, 723.150000,54.134208,56.013828,56.476194,56.041789,55.176615,54.199732,53.288087,52.514742,51.886788,51.374236,50.931298,50.513356,50.091782,49.667257,49.281570,49.028660,49.068495,
